nervous,3.56,5.51
aggressive,3.08,5.87
ambitious,6.33,5.76
amiable,6.7,2.85
angry,2.53,6.2
angst,3.5,5.76
anguished,2.78,4.79
animated,6.65,5.77
athletic,6.76,5
atmospheric,5.72,4.09
calm,6.89,1.67
benevolent,5.95,3.6
bitter,3.63,4.64
bittersweet,5.09,4.21
bleak,3.96,3.18
excited,8.11,6.43
brash,4.38,3.55
brass,5.05,4
bravado,5.89,4.7
bright,6.84,5
brittle,3.86,4.42
sad,2.1,3.49
carefree,7.32,4.15
cartoon,6.74,5.05
tense,2.75,5.32
celebrate,7.84,6.73
cerebral,4.95,3.7
cheerful,8,5.76
childlike,5.9,5.15
circular,5.47,3.4
clinical,4.82,4.1
cold,4.32,3.55
complex,4.21,4.6
concise,5.47,3.3
confident,7.56,4.62
confrontation,2.57,5.16
cosmopolitan,5.8,3.86
crunchy,5.86,4.45
cynical,3.3,4.78
defiant,4.12,5.9
delicate,6.38,3.09
detached,3.65,3.6
serene,6.9,4.67
difficult,3.78,4.45
dignified,6.55,3.48
dramatic,5.17,6.59
dreamy,7.52,4.9
alert,5.38,5.14
earnest,5.9,3.81
earthy,6.5,3.29
eccentric,5.37,5.19
eerie,3.4,5.57
elaborate,6.38,4.23
elegant,7,4.43
energetic,7.57,6.1
fatigued,2.89,3.78
epic,7.19,4.8
erotic,5.83,7.27
sensitive,6.33,3.68
euphoric,7.8,5.25
exciting,7.95,6.95
exotic,7.55,6.9
happy,8.47,6.05
feverish,3.09,5.35
fiery,5.7,5.64
flash,5.53,5.38
relaxed,7.25,2.49
fracture,3.62,5.27
fun,8.37,6.32
gentle,7.42,3.17
giddy,6.17,5.32
glee,6.95,4.76
gloomy,3.15,3.32
graceful,6.95,4
greasy,2.94,4.55
gritty,3.94,4.36
vigorous,5.75,5.63
harsh,3.44,5.63
heroic,7.45,5.48
hostile,2.35,5.39
humorous,7.81,5.33
hungry,3.54,5.6
hymn,6.14,2.73
hyper,5.11,5.52
hypnotic,5.25,3.73
indulgent,4.86,4.68
innocent,6.55,4.4
upset,2.45,4.49
intense,5.65,6.6
intimate,7.22,6.02
ironic,5.42,4.39
elated,6.56,5.14
joyous,7.45,6.62
kinetic,5.11,4.95
knot,4.57,3.84
lazy,3.05,3.05
light,6.55,3.52
educational,6.6,4.52
lively,7.12,6.1
lonely,2.67,4.37
lush,6.48,4.24
lyrical,6.84,3.81
malicious,2.32,4.95
manic,4.19,4.55
martial,5.4,4.23
depressed,2.27,4.25
melancholy,3.74,4.13
menacing,3.14,4.76
messy,3,4.61
mighty,6.45,5.43
monumental,5.74,5.24
naive,4.22,3.86
nocturnal,5.29,3.48
nostalgic,6.68,4.37
ominous,3.95,5.57
optimistic,7.45,4.19
luxurious,7.58,4.73
organic,5.55,4.29
paranoid,2.9,5.09
passionate,7.17,6.33
patriotic,6.6,4.55
perky,6,6.57
philosophical,6.21,3.5
plain,5.08,2.68
playful,7.63,5.89
poignant,5.1,4.09
positive,7.57,5.5
powerful,6.46,5.41
precious,6.84,3.64
pulse,6.38,4.85
quirky,6.43,4.35
reassure,6.55,3.7
rebellious,3.89,6.45
refined,6.11,3.95
reflective,5.57,3.38
regretful,3.1,4.56
reserved,5.63,2.79
resolute,5.95,2.86
restrain,4.42,4.7
reverent,5.44,3.88
romantic,7.61,5.12
rousing,5.35,5.83
rowdy,4.16,4.88
rustic,6,4.45
savage,4.29,4.68
scatter,3.9,4.52
uptight,3.16,4.09
sensual,7.4,6.35
sentimental,6.27,2.95
serious,5.88,4.05
sexual,6.64,6.95
sexy,7.42,6.8
shimmering,6.81,4.33
silly,6.72,4.86
sleazy,3.85,5.64
slick,5,4.17
smooth,6.42,2.76
snide,3.33,4.09
quiet,6.47,1.95
soothing,7.05,1.91
sophisticated,6.32,5.13
vacant,4.64,2.86
sparkling,6.47,4.91
spicy,6.32,6.63
spiritual,5.82,4.82
spontaneous,6.63,5.71
spooky,4.4,6
spring,7.64,5.5
stately,5.05,3.1
stylish,5.68,4.27
summer,7.5,5.48
sweet,7.77,4.14
tender,6.47,3.22
theatrical,5.3,5.36
thoughtful,7.26,2.55
thrilling,7.19,6.16
tragic,3.52,5.36
trashy,2.75,5.75
triumphant,7.45,5.05
turbulent,4.17,5.9
uncompromising,3.95,5.17
volatile,3.45,5.35
uplifting,6.95,4.7
urgent,4.21,5.71
warm,7.5,3.35
weary,3.25,2.9
whimsical,6.65,4.77
winter,5.5,2.77
witty,7.25,5.65
yearn,5.95,3.73
