title,performer,adjective,adjective_id,av_adjective,av_id
Masqualero,Miles Davis Quintet,Acerbic,10001,Nervous,10
Rehab,Amy Winehouse,Acerbic,10001,Nervous,10
Tears Dry on Their Own,Amy Winehouse,Acerbic,10001,Nervous,10
We Made You,Eminem,Acerbic,10001,Nervous,10
Folsom Prison Blues,Johnny Cash,Acerbic,10001,Nervous,10
I''ll Cry Instead,The Beatles,Acerbic,10001,Nervous,10
You Can''t Do That,The Beatles,Acerbic,10001,Nervous,10
You Won''t See Me,The Beatles,Acerbic,10001,Nervous,10
Think for Yourself,The Beatles,Acerbic,10001,Nervous,10
Happiness Is a Warm Gun,The Beatles,Acerbic,10001,Nervous,10
Sexy Sadie,The Beatles,Acerbic,10001,Nervous,10
I Am the Walrus,The Beatles,Acerbic,10001,Nervous,10
Taxman,The Beatles,Acerbic,10001,Nervous,10
And Your Bird Can Sing,The Beatles,Acerbic,10001,Nervous,10
Hey Bulldog,The Beatles,Acerbic,10001,Nervous,10
Ice Cream,Sarah McLachlan,Acerbic,10001,Nervous,10
Tombstone Blues,Bob Dylan,Acerbic,10001,Nervous,10
Shine Over Babylon,Sheryl Crow,Acerbic,10001,Nervous,10
The Lonesome Death of Hattie Carroll,Bob Dylan,Acerbic,10001,Nervous,10
Good Enough,Sarah McLachlan,Acerbic,10001,Nervous,10
Building a Mystery,Sarah McLachlan,Acerbic,10001,Nervous,10
Big Shot,Billy Joel,Acerbic,10001,Nervous,10
The Entertainer,Billy Joel,Acerbic,10001,Nervous,10
Angry Young Man,Billy Joel,Acerbic,10001,Nervous,10
Hitchin'' a Ride,Green Day,Acerbic,10001,Nervous,10
Ballad of a Thin Man,Bob Dylan,Acerbic,10001,Nervous,10
Like a Rolling Stone,Bob Dylan,Acerbic,10001,Nervous,10
A Hard Rain''s A-Gonna Fall,Bob Dylan,Acerbic,10001,Nervous,10
It''s Only Rock ''N Roll (But I Like It),The Rolling Stones,Acerbic,10001,Nervous,10
I Got Stripes,Johnny Cash,Acerbic,10001,Nervous,10
Cleanin'' Out My Closet,Eminem,Acerbic,10001,Nervous,10
Like a Rolling Stone,Bob Dylan,Acerbic,10001,Nervous,10
On a Plain,Nirvana,Acerbic,10001,Nervous,10
Live with Me,The Rolling Stones,Acerbic,10001,Nervous,10
I Don''t Wanna Go on With You Like That,Elton John,Acerbic,10001,Nervous,10
Street Fighting Man,The Rolling Stones,Acerbic,10001,Nervous,10
Clampdown,The Clash,Acerbic,10001,Nervous,10
Pressure,Billy Joel,Acerbic,10001,Nervous,10
Let Me Roll It,Paul McCartney,Acerbic,10001,Nervous,10
Flushed from the Bathroom of Your Heart,Johnny Cash,Acerbic,10001,Nervous,10
Cocaine Blues,Johnny Cash,Acerbic,10001,Nervous,10
Oliver''s Army,Elvis Costello,Acerbic,10001,Nervous,10
Go Let It Out,Oasis,Acerbic,10001,Nervous,10
Heart of Stone,The Rolling Stones,Acerbic,10001,Nervous,10
Mother''s Little Helper,The Rolling Stones,Acerbic,10001,Nervous,10
The Spider and the Fly,The Rolling Stones,Acerbic,10001,Nervous,10
Revolution,The Beatles,Acerbic,10001,Nervous,10
My Name Is,Eminem,Acerbic,10001,Nervous,10
I''m the Man,Joe Jackson,Acerbic,10001,Nervous,10
On Your Radio,Joe Jackson,Acerbic,10001,Nervous,10
Fuck tha Police,N.W.A,Aggressive,10002,aggressive,20
Breaking the Law,Judas Priest,Aggressive,10002,aggressive,20
Mama Said Knock You Out,LL Cool J,Aggressive,10002,aggressive,20
Fight the Power,Public Enemy,Aggressive,10002,aggressive,20
Wish,Nine Inch Nails,Aggressive,10002,aggressive,20
Ace of Spades,Motorhead,Aggressive,10002,aggressive,20
Kick Out the Jams,MC5,Aggressive,10002,aggressive,20
Bawitdaba,Kid Rock,Aggressive,10002,aggressive,20
Get at Me Dog,DMX,Aggressive,10002,aggressive,20
Communication Breakdown,Led Zeppelin,Aggressive,10002,aggressive,20
Attitude,Misfits,Aggressive,10002,aggressive,20
Pay to Cum,Bad Brains,Aggressive,10002,aggressive,20
Search and Destroy,Iggy & the Stooges,Aggressive,10002,aggressive,20
You Got It (Keep It Outta My Face),Mudhoney,Aggressive,10002,aggressive,20
Smack My Bitch Up,The Prodigy,Aggressive,10002,aggressive,20
Bang Your Head (Metal Health),Quiet Riot,Aggressive,10002,aggressive,20
Steady Mobbin'',Ice Cube,Aggressive,10002,aggressive,20
Summertime Blues,Blue Cheer,Aggressive,10002,aggressive,20
The Eton Rifles,The Jam,Aggressive,10002,aggressive,20
Dive,Nirvana,Aggressive,10002,aggressive,20
Break on Through (To the Other Side),The Doors,Aggressive,10002,aggressive,20
Sucker M.C.''s (Krush-Groove 1),Run-D.M.C.,Aggressive,10002,aggressive,20
Bring the Noise,Public Enemy,Aggressive,10002,aggressive,20
Slam,Onyx,Aggressive,10002,aggressive,20
I Wanna Be Your Dog,The Stooges,Aggressive,10002,aggressive,20
Dirty Water,The Standells,Aggressive,10002,aggressive,20
King of Rock,Run-D.M.C.,Aggressive,10002,aggressive,20
MBV Arkestra (If They Move Kill ''Em),Primal Scream,Aggressive,10002,aggressive,20
Psycho,The Sonics,Aggressive,10002,aggressive,20
My Generation,The Who,Aggressive,10002,aggressive,20
(I''m Not Your) Steppin'' Stone,The Monkees,Aggressive,10002,aggressive,20
Margin Walker,Fugazi,Aggressive,10002,aggressive,20
You Really Got Me,The Kinks,Aggressive,10002,aggressive,20
Balls to the Wall,Accept,Aggressive,10002,aggressive,20
Cowboys from Hell,Pantera,Aggressive,10002,aggressive,20
Radio  Radio,Elvis Costello & the Attractions,Aggressive,10002,aggressive,20
Shimmy Shimmy Ya,Ol'' Dirty Bastard,Aggressive,10002,aggressive,20
Living After Midnight,Judas Priest,Aggressive,10002,aggressive,20
Rollin'' (Air Raid Vehicle),Limp Bizkit,Aggressive,10002,aggressive,20
Blues from a Gun,The Jesus and Mary Chain,Aggressive,10002,aggressive,20
Machine Gun Etiquette,The Damned,Aggressive,10002,aggressive,20
Tattooed Love Boys,Pretenders,Aggressive,10002,aggressive,20
Personality Crisis,New York Dolls,Aggressive,10002,aggressive,20
Highway Star,Deep Purple,Aggressive,10002,aggressive,20
Run to the Hills,Iron Maiden,Aggressive,10002,aggressive,20
Fire,The Jimi Hendrix Experience,Aggressive,10002,aggressive,20
Unsung,Helmet,Aggressive,10002,aggressive,20
This Is a Call,Foo Fighters,Aggressive,10002,aggressive,20
Rockstar,Nickelback,Aggressive,10002,aggressive,20
Save You,Pearl Jam,Aggressive,10002,aggressive,20
How Can You Mend a Broken Heart?,Bee Gees,Ambitious,10003,ambitious,79
Lucy in the Sky With Diamonds,The Beatles,Ambitious,10003,ambitious,79
Sgt. Pepper''s Lonely Hearts Club Band,The Beatles,Ambitious,10003,ambitious,79
A Day in the Life,The Beatles,Ambitious,10003,ambitious,79
Magical Mystery Tour,The Beatles,Ambitious,10003,ambitious,79
